,type,word,position,stemmed,polarity
0,0.5,abandoned,adj,n,-1
1,0.5,abandonment,noun,n,-1
2,0.5,abandon,verb,y,-1
3,1.0,abase,verb,y,-1
4,1.0,abasement,anypos,y,-1
5,1.0,abash,verb,y,-1
6,0.5,abate,verb,y,-1
7,0.5,abdicate,verb,y,-1
8,1.0,aberration,adj,n,-1
9,1.0,aberration,noun,n,-1
10,1.0,abhor,anypos,y,-1
11,1.0,abhor,verb,y,-1
12,1.0,abhorred,adj,n,-1
13,1.0,abhorrence,noun,n,-1
14,1.0,abhorrent,adj,n,-1
15,1.0,abhorrently,anypos,n,-1
16,1.0,abhors,adj,n,-1
17,1.0,abhors,noun,n,-1
18,1.0,abidance,adj,n,1
19,1.0,abidance,noun,n,1
20,1.0,abide,anypos,y,1
21,1.0,abject,adj,n,-1
22,1.0,abjectly,adverb,n,-1
23,0.5,abjure,verb,y,-1
24,0.5,abilities,noun,n,1
25,0.5,ability,noun,n,1
26,0.5,able,adj,n,1
27,0.5,abnormal,adj,n,-1
28,0.5,abolish,verb,y,-1
29,1.0,abominable,adj,n,-1
30,1.0,abominably,anypos,n,-1
31,1.0,abominate,verb,y,-1
32,1.0,abomination,noun,n,-1
33,0.5,above,anypos,n,1
34,0.5,above-average,adj,n,1
35,0.5,abound,verb,y,1
36,0.5,abrade,verb,y,-1
37,1.0,abrasive,adj,n,-1
38,0.5,abrupt,adj,n,-1
39,1.0,abscond,verb,y,-1
40,0.5,absence,noun,n,-1
41,0.5,absentee,anypos,y,-1
42,1.0,absent-minded,adj,n,-1
43,1.0,absolve,verb,y,1
44,1.0,absolute,adj,n,0
45,1.0,absolutely,adj,n,0
46,0.5,absorbed,verb,n,0
47,1.0,absurd,adj,n,-1
48,1.0,absurdity,noun,n,-1
49,1.0,absurdly,anypos,n,-1
50,1.0,absurdness,noun,n,-1
51,0.5,abundant,adj,n,1
52,0.5,abundance,noun,n,1
53,0.5,abuse,adj,n,-1
54,0.5,abuse,noun,n,-1
55,1.0,abuse,verb,y,-1
56,0.5,abuses,adj,n,-1
57,0.5,abuses,noun,n,-1
58,1.0,abusive,adj,n,-1
59,1.0,abysmal,adj,n,-1
60,1.0,abysmally,anypos,n,-1
61,1.0,abyss,noun,n,-1
62,1.0,accede,verb,y,1
63,1.0,accentuate,verb,y,0
64,0.5,accept,verb,y,1
65,0.5,acceptance,noun,n,1
66,0.5,acceptable,adj,n,1
67,0.5,accessible,adj,n,1
68,0.5,accidental,adj,n,-1
69,1.0,acclaim,noun,n,1
70,1.0,acclaim,verb,y,1
71,1.0,acclaimed,adj,n,1
72,1.0,acclamation,anypos,y,1
73,1.0,accolade,noun,n,1
74,1.0,accolades,noun,n,1
75,0.5,accommodative,adj,n,1
76,0.5,accomplish,verb,y,1
77,0.5,accomplishment,noun,n,1
78,0.5,accomplishments,noun,n,1
79,0.5,accord,verb,y,1
80,0.5,accordance,noun,n,1
81,0.5,accordantly,adverb,n,1
82,0.5,accost,verb,y,-1
83,0.5,accountable,adj,n,-1
84,0.5,accurate,adj,n,1
85,0.5,accurately,adj,n,1
86,1.0,accursed,adj,n,-1
87,1.0,accusation,adj,n,-1
88,1.0,accusation,noun,n,-1
89,1.0,accusations,adj,n,-1
90,1.0,accusations,noun,n,-1
91,1.0,accuse,verb,y,-1
92,1.0,accuses,verb,n,-1
93,1.0,accusing,anypos,n,-1
94,1.0,accusingly,anypos,n,-1
95,1.0,acerbate,verb,y,-1
96,1.0,acerbic,adj,n,-1
97,1.0,acerbically,adverb,n,-1
98,1.0,ache,verb,y,-1
99,0.5,achievable,adj,n,1
100,0.5,achieve,verb,y,1
101,0.5,achievement,anypos,n,1
102,0.5,achievements,anypos,n,1
103,0.5,acknowledge,verb,y,1
104,0.5,acknowledgement,noun,n,1
105,0.5,acquit,verb,y,1
106,1.0,acrid,adj,n,-1
107,1.0,acridly,anypos,n,-1
108,1.0,acridness,noun,n,-1
109,1.0,acrimonious,adj,n,-1
110,1.0,acrimoniously,anypos,n,-1
111,1.0,acrimony,noun,n,-1
112,0.5,active,adj,n,1
113,1.0,activist,adj,n,0
114,1.0,activist,noun,n,0
115,1.0,actual,anypos,n,0
116,1.0,actuality,anypos,n,0
117,1.0,actually,anypos,n,0
118,1.0,acumen,noun,n,1
119,1.0,adamant,adj,n,-1
120,1.0,adamantly,anypos,n,-1
121,0.5,adaptable,adj,n,1
122,0.5,adaptability,noun,n,1
123,0.5,adaptive,adj,n,1
124,0.5,addict,noun,n,-1
125,0.5,addiction,noun,n,-1
126,0.5,adept,adj,n,1
127,0.5,adeptly,adverb,n,1
128,0.5,adequate,adj,n,1
129,0.5,adherence,noun,n,1
130,0.5,adherent,adj,n,1
131,0.5,adhesion,noun,n,1
132,1.0,admirable,adj,n,1
133,1.0,admirer,noun,n,1
134,1.0,admirable,anypos,n,1
135,1.0,admirably,anypos,n,1
136,1.0,admiration,noun,n,1
137,1.0,admire,verb,y,1
138,1.0,admiring,adj,n,1
139,1.0,admiringly,adj,n,1
140,0.5,admission,adj,n,1
141,0.5,admission,noun,n,1
142,1.0,admit,verb,y,1
143,1.0,admittedly,anypos,y,1
144,1.0,admonish,verb,y,-1
145,1.0,admonisher,anypos,y,-1
146,1.0,admonishingly,anypos,y,-1
147,1.0,admonishment,anypos,y,-1
148,1.0,admonition,noun,n,-1
149,1.0,adolescents,adj,n,0
150,1.0,adolescents,noun,n,0
151,1.0,adorable,adj,n,1
152,1.0,adore,verb,y,1
153,1.0,adored,adj,n,1
154,1.0,adorer,anypos,y,1
155,1.0,adorer,noun,n,1
156,1.0,adoring,adj,n,1
157,1.0,adoringly,anypos,n,1
158,0.5,adrift,anypos,n,-1
159,1.0,adroit,adj,n,1
160,1.0,adroitly,adj,n,1
161,1.0,adulate,verb,y,1
162,1.0,adulation,anypos,y,1
163,1.0,adulatory,adj,n,1
164,1.0,adulterate,verb,y,-1
165,1.0,adulterated,anypos,n,-1
166,1.0,adulteration,noun,n,-1
167,0.5,advanced,adj,n,1
168,0.5,advantage,adj,n,1
169,0.5,advantage,noun,n,1
170,1.0,advantageous,adj,n,1
171,0.5,advantages,adj,n,1
172,0.5,advantages,noun,n,1
173,0.5,adventure,adj,n,1
174,0.5,adventure,noun,n,1
175,1.0,adventuresome,noun,n,1
176,1.0,adventurism,noun,n,1
177,0.5,adventurous,adj,n,1
178,0.5,adversarial,adj,n,-1
179,0.5,adversary,noun,y,-1
180,0.5,adverse,adj,n,-1
181,1.0,adversity,noun,n,-1
182,0.5,advice,adj,n,1
183,0.5,advice,noun,n,1
184,0.5,advisable,noun,n,1
185,1.0,advocate,verb,y,1
186,1.0,advocacy,noun,n,1
187,1.0,affable,adj,n,1
188,0.5,affability,noun,n,1
189,0.5,affably,adverb,n,1
190,0.5,affect,verb,y,0
191,0.5,affectation,noun,n,-1
192,1.0,affected,adj,n,0
193,1.0,affection,adj,n,1
194,1.0,affection,noun,n,1
195,1.0,affectionate,adj,n,1
196,0.5,affinity,noun,n,1
197,1.0,affirm,verb,y,1
198,1.0,affirmation,adj,n,1
199,1.0,affirmation,noun,n,1
200,0.5,affirmative,noun,n,1
201,0.5,afflict,verb,y,-1
202,0.5,affliction,noun,n,-1
203,1.0,afflictive,adj,n,-1
204,0.5,affluent,adj,n,1
205,0.5,affluence,noun,n,1
206,0.5,afford,verb,y,1
207,0.5,affordable,adj,n,1
208,1.0,affront,noun,n,-1
209,1.0,affront,verb,y,-1
210,0.5,afloat,adj,n,1
211,1.0,afraid,adj,n,-1
212,0.5,against,anypos,n,-1
213,1.0,aggravate,verb,y,-1
214,1.0,aggravating,adj,n,-1
215,1.0,aggravation,noun,n,-1
216,1.0,aggression,adj,n,-1
217,1.0,aggression,noun,n,-1
218,1.0,aggressive,anypos,y,-1
219,1.0,aggressiveness,noun,n,-1
220,1.0,aggressor,noun,n,-1
221,1.0,aggrieve,verb,y,-1
222,1.0,aggrieved,adj,n,-1
223,1.0,aghast,adj,n,-1
224,0.5,agile,adj,n,1
225,0.5,agilely,adverb,n,1
226,0.5,agility,noun,n,1
227,1.0,agitate,verb,y,-1
228,1.0,agitated,adj,n,-1
229,1.0,agitation,noun,n,-1
230,1.0,agitator,noun,n,-1
231,1.0,agonies,noun,n,-1
232,1.0,agonize,verb,y,-1
233,1.0,agonizing,adj,n,-1
234,1.0,agonizing,anypos,y,-1
235,1.0,agonizingly,anypos,n,-1
236,1.0,agony,noun,n,-1
237,1.0,agree,verb,y,1
238,1.0,agreeability,anypos,y,1
239,0.5,agreeable,adj,n,1
240,1.0,agreeable,anypos,y,1
241,1.0,agreeableness,anypos,y,1
242,1.0,agreeably,anypos,y,1
243,0.5,agreement,adj,n,1
244,0.5,agreement,noun,n,1
245,1.0,aha,anypos,y,0
246,0.5,ail,noun,n,-1
247,0.5,ail,verb,y,-1
248,0.5,ailment,noun,n,-1
249,1.0,aimless,adj,n,-1
250,1.0,air,verb,y,0
251,0.5,airs,adj,n,-1
252,0.5,airs,noun,n,-1
253,0.5,alarm,adj,n,-1
254,0.5,alarm,verb,y,-1
255,1.0,alarmed,adj,n,-1
256,1.0,alarming,adj,n,-1
257,1.0,alarmingly,anypos,n,-1
258,1.0,alas,anypos,y,-1
259,0.5,alert,adj,n,0
260,0.5,alienate,verb,y,-1
261,0.5,alienated,adj,n,-1
262,0.5,alienation,noun,n,-1
263,0.5,all-time,adj,n,0
264,0.5,all-time,noun,n,0
265,1.0,allay,verb,y,1
266,1.0,allegation,anypos,n,-1
267,1.0,allegations,adj,n,-1
268,0.5,allege,verb,n,-1
269,1.0,allegations,noun,n,-1
270,1.0,allegorize,verb,y,0
271,0.5,allergic,adj,n,-1
272,0.5,alleviate,verb,y,1
273,1.0,alliance,anypos,n,0
274,1.0,alliances,adj,n,0
275,1.0,alliances,noun,n,0
276,0.5,allow,verb,y,1
277,0.5,allowable,adj,n,1
278,1.0,allure,verb,y,1
279,1.0,allure,noun,n,1
280,1.0,alluring,anypos,n,1
281,1.0,alluringly,anypos,n,1
282,1.0,allusion,adj,n,0
283,1.0,allusion,noun,n,0
284,1.0,allusions,anypos,n,0
285,1.0,ally,noun,y,1
286,1.0,almighty,adj,n,1
287,1.0,aloof,adj,n,-1
288,0.5,altercation,noun,n,-1
289,0.5,although,anypos,y,-1
290,1.0,altogether,anypos,n,0
291,1.0,altruist,noun,n,1
292,1.0,altruistic,adj,n,1
293,1.0,altruistically,adj,n,1
294,1.0,amaze,verb,y,1
295,1.0,amazed,adj,n,1
296,1.0,amazement,noun,n,1
297,1.0,amazing,adj,n,1
298,1.0,amazing,anypos,y,1
299,1.0,amazingly,anypos,n,1
300,1.0,ambiguous,adj,n,-1
301,1.0,ambiguity,noun,n,-1
302,0.5,ambitious,adj,n,1
303,0.5,ambitious,noun,n,1
304,0.5,ambitiously,anypos,y,1
305,1.0,ambivalence,anypos,y,-1
306,1.0,ambivalent,adj,n,-1
307,1.0,ambivalent,noun,n,-1
308,0.5,ambush,noun,n,-1
309,0.5,ambush,verb,y,-1
310,1.0,ameliorate,verb,y,1
311,1.0,amenable,adj,n,1
312,0.5,amenity,noun,n,1
313,1.0,amiability,noun,n,1
314,1.0,amiabily,adverb,n,1
315,1.0,amiable,adj,n,1
316,1.0,amicability,noun,n,1
317,1.0,amicable,adj,n,1
318,1.0,amicably,adverb,n,1
319,1.0,amiss,anypos,n,-1
320,0.5,amity,adj,n,1
321,0.5,amity,noun,n,1
322,0.5,amnesty,noun,n,1
323,1.0,amour,noun,n,1
324,0.5,ample,adj,n,1
325,0.5,amply,adverb,n,1
326,0.5,amplify,verb,y,0
327,0.5,amputate,verb,y,-1
328,1.0,amuse,verb,y,1
329,1.0,amusement,adj,n,1
330,1.0,amusement,noun,n,1
331,1.0,amusing,adj,n,1
332,1.0,amusing,anypos,y,1
333,1.0,amusingly,anypos,y,1
334,0.5,analytical,adj,n,0
335,1.0,anarchism,noun,n,-1
336,1.0,anarchist,noun,n,-1
337,1.0,anarchistic,adj,n,-1
338,1.0,anarchy,noun,n,-1
339,0.5,anemic,adj,n,-1
340,0.5,angel,noun,n,1
341,1.0,angelic,adj,n,1
342,1.0,anger,adj,n,-1
343,1.0,anger,noun,n,-1
344,1.0,anger,verb,y,-1
345,1.0,angrily,anypos,y,-1
346,1.0,angriness,anypos,y,-1
347,1.0,angry,adj,n,-1
348,1.0,anguish,noun,n,-1
349,1.0,anguish,verb,y,-1
350,1.0,annihilate,verb,y,-1
351,1.0,annihilation,noun,n,-1
352,0.5,animated,adj,n,1
353,1.0,animosity,noun,n,-1
354,1.0,annoy,verb,y,-1
355,1.0,annoyance,noun,n,-1
356,1.0,annoyed,adj,n,-1
357,1.0,annoying,adj,n,-1
358,1.0,annoying,anypos,y,-1
359,1.0,annoyingly,anypos,n,-1
360,0.5,anomalous,adj,n,-1
361,0.5,anomaly,noun,n,-1
362,1.0,antagonism,noun,n,-1
363,0.5,antagonist,noun,n,-1
364,1.0,antagonistic,adj,n,-1
365,1.0,antagonize,verb,y,-1
366,1.0,anti-,noun,n,-1
367,1.0,anti-American,adj,n,-1
368,1.0,anti-American,noun,n,-1
369,1.0,anti-Israeli,adj,n,-1
370,1.0,anti-Israeli,noun,n,-1
371,1.0,anti-Semites,adj,n,-1
372,1.0,anti-Semites,noun,n,-1
373,1.0,anti-US,adj,n,-1
374,1.0,anti-US,noun,n,-1
375,1.0,anti-occupation,adj,n,-1
376,1.0,anti-occupation,noun,n,-1
377,1.0,anti-proliferation,adj,n,-1
378,1.0,anti-proliferation,noun,n,-1
379,1.0,anti-social,adj,n,-1
380,1.0,anti-white,adj,n,-1
381,1.0,anti-white,noun,n,-1
382,1.0,antipathy,noun,n,-1
383,1.0,antiquated,adj,n,-1
384,1.0,antithetical,adj,n,-1
385,1.0,antithetical,noun,n,-1
386,1.0,anxieties,noun,n,-1
387,1.0,anxiety,noun,n,-1
388,1.0,anxious,anypos,n,-1
389,1.0,anxiously,anypos,n,-1
390,1.0,anxiousness,noun,n,-1
391,1.0,anyhow,anypos,y,0
392,1.0,anyway,anypos,y,0
393,1.0,anyways,anypos,y,0
394,1.0,apathetic,adj,n,-1
395,1.0,apathetic,noun,n,-1
396,1.0,apathetically,adverb,n,-1
397,1.0,apathy,noun,n,-1
398,1.0,ape,verb,y,-1
399,1.0,apocalypse,noun,n,-1
400,1.0,apocalyptic,adj,n,-1
401,1.0,apologist,adj,n,-1
402,1.0,apologist,noun,n,-1
403,1.0,apologists,adj,n,-1
404,1.0,apologists,noun,n,-1
405,1.0,apostle,adj,n,1
406,1.0,apostle,noun,n,1
407,1.0,apotheosis,adj,n,1
408,1.0,apotheosis,noun,n,1
409,1.0,appal,verb,y,-1
410,1.0,appall,adj,n,-1
411,1.0,appall,anypos,y,-1
412,1.0,appall,verb,y,-1
413,1.0,appalled,adj,n,-1
414,1.0,appalling,adj,n,-1
415,1.0,appallingly,anypos,n,-1
416,0.5,apparent,anypos,y,0
417,0.5,apparently,anypos,y,0
418,0.5,appeal,adj,n,1
419,0.5,appeal,noun,n,1
420,0.5,appeal,verb,y,1
421,1.0,appealing,adj,n,1
422,0.5,appear,anypos,y,0
423,0.5,appearance,adj,n,0
